Sample	Variant classes	Consequences (most severe)	Consequences (all)	Coding consequences	SIFT summary	PolyPhen summary	Variants by chromosome	Position in protein	General statistics
ESN_CYP4F2	{'insertion': 4, 'SNV': 75}	{'missense_variant': 5, 'splice_region_variant': 1, 'splice_polypyrimidine_tract_variant': 2, 'synonymous_variant': 4, '5_prime_UTR_variant': 5, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 2, 'intron_variant': 58}	{'missense_variant': 85, 'splice_region_variant': 19, 'splice_polypyrimidine_tract_variant': 39, 'synonymous_variant': 82, '5_prime_UTR_variant': 6, '3_prime_UTR_variant': 37, 'non_coding_transcript_exon_variant': 19, 'intron_variant': 1304, 'NMD_transcript_variant': 64, 'non_coding_transcript_variant': 112, 'upstream_gene_variant': 178, 'downstream_gene_variant': 53}	{'missense_variant': 85, 'synonymous_variant': 82}	{'tolerated': 2, 'tolerated_low_confidence': 10, 'deleterious_low_confidence': 15}	{'possibly_damaging': 4, 'probably_damaging': 5, 'benign': 18}	{'chr19': 79}	{'00-10%': 20, '10-20%': 44, '20-30%': 15, '30-40%': 14, '40-50%': 2, '50-60%': 3, '60-70%': 15, '70-80%': 2, '80-90%': 6, '90-100%': 46}	{'Lines of input read': 79, 'Variants processed': 79, 'Variants filtered out': 0, 'Novel variants': 8, 'Existing variants': 71, 'Overlapped genes': 4, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 0}
ESN_DRD2	{'SNV': 61}	{'synonymous_variant': 4, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 3, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 52}	{'synonymous_variant': 32, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 22, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 481, 'non_coding_transcript_variant': 82, 'upstream_gene_variant': 23, 'downstream_gene_variant': 101, 'regulatory_region_variant': 2}	{'synonymous_variant': 32}			{'chr11': 61}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 17, '70-80%': 15, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 61, 'Variants processed': 61, 'Variants filtered out': 0, 'Novel variants': 19, 'Existing variants': 42, 'Overlapped genes': 3, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 1}
ESN_GGCX	{'sequence_alteration': 1, 'insertion': 1, 'deletion': 2, 'SNV': 25}	{'missense_variant': 1, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 2, '3_prime_UTR_variant': 5, 'non_coding_transcript_exon_variant': 7, 'intron_variant': 13}	{'missense_variant': 23, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 46, '3_prime_UTR_variant': 43, 'non_coding_transcript_exon_variant': 54, 'intron_variant': 914, 'NMD_transcript_variant': 210, 'non_coding_transcript_variant': 171, 'upstream_gene_variant': 38, 'downstream_gene_variant': 210}	{'missense_variant': 23, 'synonymous_variant': 46}	{'tolerated': 9}	{'benign': 9}	{'chr2': 29}	{'00-10%': 2, '10-20%': 3, '20-30%': 5, '30-40%': 13, '40-50%': 14, '50-60%': 23, '60-70%': 2, '70-80%': 1, '80-90%': 2, '90-100%': 4}	{'Lines of input read': 29, 'Variants processed': 29, 'Variants filtered out': 0, 'Novel variants': 7, 'Existing variants': 22, 'Overlapped genes': 3, 'Overlapped transcripts': 51, 'Overlapped regulatory features': 0}
ESN_OPRM1	{'sequence_alteration': 2, 'insertion': 2, 'deletion': 6, 'SNV': 188}	{'splice_acceptor_variant': 1, 'stop_gained': 2, 'missense_variant': 5, 'splice_donor_region_variant': 1, 'synonymous_variant': 2, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 27, 'non_coding_transcript_exon_variant': 8, 'intron_variant': 149}	{'splice_acceptor_variant': 2, 'stop_gained': 4, 'missense_variant': 19, 'splice_region_variant': 1, 'splice_donor_region_variant': 1, 'synonymous_variant': 2, '5_prime_UTR_variant': 16, '3_prime_UTR_variant': 45, 'non_coding_transcript_exon_variant': 11, 'intron_variant': 2363, 'NMD_transcript_variant': 303, 'non_coding_transcript_variant': 174, 'upstream_gene_variant': 136, 'downstream_gene_variant': 276, 'regulatory_region_variant': 6}	{'stop_gained': 4, 'missense_variant': 19, 'synonymous_variant': 2}	{'deleterious_low_confidence': 3, 'tolerated_low_confidence': 16}	{'unknown': 3, 'benign': 16}	{'chr6': 198}	{'00-10%': 16, '10-20%': 2, '20-30%': 1, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 5}	{'Lines of input read': 198, 'Variants processed': 198, 'Variants filtered out': 0, 'Novel variants': 38, 'Existing variants': 160, 'Overlapped genes': 5, 'Overlapped transcripts': 49, 'Overlapped regulatory features': 2}
ESN_UGT2B7	{'sequence_alteration': 1, 'deletion': 4, 'insertion': 7, 'SNV': 115}	{'missense_variant': 1, 'splice_region_variant': 2, 'synonymous_variant': 6, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 8, 'intron_variant': 109}	{'missense_variant': 9, 'splice_region_variant': 8, 'synonymous_variant': 49, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 18, 'non_coding_transcript_exon_variant': 15, 'intron_variant': 683, 'non_coding_transcript_variant': 201, 'upstream_gene_variant': 107, 'downstream_gene_variant': 74, 'regulatory_region_variant': 7}	{'missense_variant': 9, 'synonymous_variant': 49}	{'tolerated_low_confidence': 4}	{'benign': 4}	{'chr4': 127}	{'00-10%': 0, '10-20%': 3, '20-30%': 4, '30-40%': 0, '40-50%': 14, '50-60%': 8, '60-70%': 14, '70-80%': 10, '80-90%': 2, '90-100%': 3}	{'Lines of input read': 127, 'Variants processed': 127, 'Variants filtered out': 0, 'Novel variants': 10, 'Existing variants': 117, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 3}
ESN_VKORC1	{'SNV': 6}	{'missense_variant': 1, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 2}	{'missense_variant': 5, 'synonymous_variant': 4, '3_prime_UTR_variant': 15, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 25, 'non_coding_transcript_variant': 3, 'upstream_gene_variant': 28, 'downstream_gene_variant': 7, 'regulatory_region_variant': 1}	{'missense_variant': 5, 'synonymous_variant': 4}	{'tolerated': 1, 'tolerated_low_confidence': 1, 'deleterious_low_confidence': 3}	{'probably_damaging': 1, 'possibly_damaging': 2, 'unknown': 2}	{'chr16': 6}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 1, '70-80%': 2, '80-90%': 0, '90-100%': 5}	{'Lines of input read': 6, 'Variants processed': 6, 'Variants filtered out': 0, 'Novel variants': 0, 'Existing variants': 6, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 1}
EUR_CALU	{'sequence_alteration': 1, 'insertion': 2, 'deletion': 2, 'SNV': 123}	{'missense_variant': 2, 'splice_polypyrimidine_tract_variant': 1, '5_prime_UTR_variant': 5, '3_prime_UTR_variant': 19, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 100}	{'missense_variant': 35, 'splice_polypyrimidine_tract_variant': 1, '5_prime_UTR_variant': 48, '3_prime_UTR_variant': 273, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 2586, 'upstream_gene_variant': 57, 'downstream_gene_variant': 278, 'regulatory_region_variant': 19}	{'missense_variant': 35}	{'tolerated_low_confidence': 1, 'tolerated': 28}	{'benign': 29}	{'chr7': 128}	{'00-10%': 24, '10-20%': 0, '20-30%': 10, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 128, 'Variants processed': 128, 'Variants filtered out': 0, 'Novel variants': 52, 'Existing variants': 76, 'Overlapped genes': 3, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 4}
EUR_CYP2C9	{'deletion': 1, 'insertion': 3, 'SNV': 164}	{'missense_variant': 2, 'splice_polypyrimidine_tract_variant': 2, 'synonymous_variant': 1, '3_prime_UTR_variant': 14, 'non_coding_transcript_exon_variant': 5, 'intron_variant': 143, 'downstream_gene_variant': 1}	{'missense_variant': 33, 'splice_polypyrimidine_tract_variant': 18, 'synonymous_variant': 17, '3_prime_UTR_variant': 85, 'non_coding_transcript_exon_variant': 8, 'intron_variant': 2915, 'NMD_transcript_variant': 164, 'non_coding_transcript_variant': 52, 'upstream_gene_variant': 47, 'downstream_gene_variant': 132, 'regulatory_region_variant': 1}	{'missense_variant': 33, 'synonymous_variant': 17}	{'tolerated_low_confidence': 2, 'deleterious_low_confidence': 2}	{'benign': 1, 'possibly_damaging': 1, 'probably_damaging': 2}	{'chr10': 168}	{'00-10%': 0, '10-20%': 0, '20-30%': 9, '30-40%': 5, '40-50%': 1, '50-60%': 1, '60-70%': 2, '70-80%': 14, '80-90%': 1, '90-100%': 17}	{'Lines of input read': 168, 'Variants processed': 168, 'Variants filtered out': 0, 'Novel variants': 73, 'Existing variants': 95, 'Overlapped genes': 3, 'Overlapped transcripts': 23, 'Overlapped regulatory features': 1}
EUR_CYP2D6	{'SNV': 1, 'deletion': 1}	{'frameshift_variant': 1, 'non_coding_transcript_exon_variant': 1}	{'frameshift_variant': 20, 'non_coding_transcript_exon_variant': 2, 'intron_variant': 48, 'NMD_transcript_variant': 2, 'non_coding_transcript_variant': 2, 'upstream_gene_variant': 6, 'downstream_gene_variant': 12}	{'frameshift_variant': 20}			{'chr22': 2}	{'00-10%': 0, '10-20%': 0, '20-30%': 2, '30-40%': 18, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 2, 'Variants processed': 2, 'Variants filtered out': 0, 'Novel variants': 0, 'Existing variants': 2, 'Overlapped genes': 3, 'Overlapped transcripts': 50, 'Overlapped regulatory features': 0}
EUR_CYP4F2	{'deletion': 2, 'insertion': 5, 'SNV': 139}	{'start_lost': 1, 'missense_variant': 6, 'splice_region_variant': 1, 'splice_polypyrimidine_tract_variant': 3, 'synonymous_variant': 2, '5_prime_UTR_variant': 4, '3_prime_UTR_variant': 4, 'non_coding_transcript_exon_variant': 2, 'intron_variant': 122, 'downstream_gene_variant': 1}	{'start_lost': 19, 'missense_variant': 101, 'splice_region_variant': 34, 'splice_polypyrimidine_tract_variant': 36, 'synonymous_variant': 52, '5_prime_UTR_variant': 5, '3_prime_UTR_variant': 63, 'non_coding_transcript_exon_variant': 24, 'intron_variant': 2345, 'NMD_transcript_variant': 114, 'non_coding_transcript_variant': 197, 'upstream_gene_variant': 476, 'downstream_gene_variant': 127}	{'start_lost': 19, 'missense_variant': 101, 'synonymous_variant': 52}	{'deleterious': 2, 'tolerated': 2, 'tolerated_low_confidence': 10, 'deleterious_low_confidence': 25}	{'possibly_damaging': 4, 'probably_damaging': 16, 'benign': 19}	{'chr19': 146}	{'00-10%': 39, '10-20%': 30, '20-30%': 1, '30-40%': 14, '40-50%': 2, '50-60%': 3, '60-70%': 14, '70-80%': 3, '80-90%': 20, '90-100%': 46}	{'Lines of input read': 146, 'Variants processed': 146, 'Variants filtered out': 0, 'Novel variants': 40, 'Existing variants': 106, 'Overlapped genes': 4, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 0}
EUR_DRD2	{'insertion': 5, 'deletion': 11, 'SNV': 306}	{'missense_variant': 2, 'synonymous_variant': 4, '5_prime_UTR_variant': 10, '3_prime_UTR_variant': 8, 'non_coding_transcript_exon_variant': 6, 'intron_variant': 292}	{'missense_variant': 16, 'synonymous_variant': 34, '5_prime_UTR_variant': 13, '3_prime_UTR_variant': 55, 'non_coding_transcript_exon_variant': 10, 'intron_variant': 2267, 'non_coding_transcript_variant': 370, 'upstream_gene_variant': 238, 'downstream_gene_variant': 198, 'regulatory_region_variant': 20}	{'missense_variant': 16, 'synonymous_variant': 34}	{'deleterious': 6, 'tolerated': 10}	{'possibly_damaging': 7, 'benign': 9}	{'chr11': 322}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 15, '40-50%': 1, '50-60%': 0, '60-70%': 2, '70-80%': 31, '80-90%': 0, '90-100%': 1}	{'Lines of input read': 322, 'Variants processed': 322, 'Variants filtered out': 0, 'Novel variants': 136, 'Existing variants': 186, 'Overlapped genes': 3, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 8}
EUR_GGCX	{'sequence_alteration': 1, 'deletion': 4, 'insertion': 4, 'SNV': 74}	{'missense_variant': 1, 'splice_region_variant': 1, 'synonymous_variant': 4, '5_prime_UTR_variant': 5, '3_prime_UTR_variant': 27, 'non_coding_transcript_exon_variant': 19, 'intron_variant': 26}	{'missense_variant': 23, 'splice_region_variant': 33, 'synonymous_variant': 112, '5_prime_UTR_variant': 6, '3_prime_UTR_variant': 184, 'non_coding_transcript_exon_variant': 123, 'intron_variant': 1723, 'NMD_transcript_variant': 414, 'non_coding_transcript_variant': 336, 'upstream_gene_variant': 254, 'downstream_gene_variant': 1065, 'regulatory_region_variant': 6}	{'missense_variant': 23, 'synonymous_variant': 112}	{'tolerated': 9}	{'benign': 9}	{'chr2': 83}	{'00-10%': 9, '10-20%': 14, '20-30%': 6, '30-40%': 13, '40-50%': 17, '50-60%': 27, '60-70%': 22, '70-80%': 15, '80-90%': 6, '90-100%': 6}	{'Lines of input read': 83, 'Variants processed': 83, 'Variants filtered out': 0, 'Novel variants': 33, 'Existing variants': 50, 'Overlapped genes': 3, 'Overlapped transcripts': 52, 'Overlapped regulatory features': 3}
EUR_OPRM1	{'sequence_alteration': 2, 'insertion': 6, 'deletion': 22, 'SNV': 872}	{'stop_gained': 2, 'missense_variant': 6, 'splice_region_variant': 1, 'synonymous_variant': 4, '5_prime_UTR_variant': 8, '3_prime_UTR_variant': 99, 'non_coding_transcript_exon_variant': 25, 'intron_variant': 757}	{'stop_gained': 2, 'missense_variant': 64, 'splice_region_variant': 1, 'synonymous_variant': 40, '5_prime_UTR_variant': 18, '3_prime_UTR_variant': 204, 'non_coding_transcript_exon_variant': 52, 'intron_variant': 10921, 'NMD_transcript_variant': 1364, 'non_coding_transcript_variant': 836, 'upstream_gene_variant': 407, 'downstream_gene_variant': 1041, 'regulatory_region_variant': 42}	{'stop_gained': 2, 'missense_variant': 64, 'synonymous_variant': 40}	{'deleterious': 4, 'tolerated_low_confidence': 16, 'deleterious_low_confidence': 44}	{'unknown': 2, 'possibly_damaging': 3, 'probably_damaging': 8, 'benign': 51}	{'chr6': 902}	{'00-10%': 33, '10-20%': 5, '20-30%': 20, '30-40%': 4, '40-50%': 12, '50-60%': 3, '60-70%': 0, '70-80%': 0, '80-90%': 14, '90-100%': 15}	{'Lines of input read': 902, 'Variants processed': 902, 'Variants filtered out': 0, 'Novel variants': 432, 'Existing variants': 470, 'Overlapped genes': 5, 'Overlapped transcripts': 49, 'Overlapped regulatory features': 16}
EUR_UGT2B7	{'sequence_alteration': 1, 'deletion': 4, 'insertion': 8, 'SNV': 334}	{'splice_donor_variant': 1, 'missense_variant': 1, 'splice_region_variant': 4, 'synonymous_variant': 8, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 10, 'intron_variant': 318}	{'splice_donor_variant': 2, 'missense_variant': 9, 'splice_region_variant': 18, 'splice_polypyrimidine_tract_variant': 10, 'synonymous_variant': 65, '5_prime_UTR_variant': 4, '3_prime_UTR_variant': 32, 'non_coding_transcript_exon_variant': 21, 'intron_variant': 1619, 'non_coding_transcript_variant': 507, 'upstream_gene_variant': 301, 'downstream_gene_variant': 150, 'regulatory_region_variant': 23}	{'missense_variant': 9, 'synonymous_variant': 65}	{'tolerated_low_confidence': 4}	{'benign': 4}	{'chr4': 347}	{'00-10%': 0, '10-20%': 3, '20-30%': 9, '30-40%': 2, '40-50%': 15, '50-60%': 10, '60-70%': 18, '70-80%': 10, '80-90%': 3, '90-100%': 4}	{'Lines of input read': 347, 'Variants processed': 347, 'Variants filtered out': 0, 'Novel variants': 80, 'Existing variants': 267, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 5}
EUR_VKORC1	{'deletion': 1, 'SNV': 31}	{'splice_donor_variant': 1, 'missense_variant': 1, 'synonymous_variant': 1, '5_prime_UTR_variant': 6, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 8, 'intron_variant': 10, 'upstream_gene_variant': 3}	{'splice_donor_variant': 1, 'missense_variant': 6, 'synonymous_variant': 6, '5_prime_UTR_variant': 16, '3_prime_UTR_variant': 14, 'non_coding_transcript_exon_variant': 20, 'intron_variant': 184, 'non_coding_transcript_variant': 16, 'upstream_gene_variant': 146, 'downstream_gene_variant': 45, 'regulatory_region_variant': 12}	{'missense_variant': 6, 'synonymous_variant': 6}	{'deleterious': 4}	{'probably_damaging': 4}	{'chr16': 32}	{'00-10%': 11, '10-20%': 1, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 32, 'Variants processed': 32, 'Variants filtered out': 0, 'Novel variants': 16, 'Existing variants': 16, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 2}
FIN_CALU	{'insertion': 2, 'SNV': 36}	{'missense_variant': 1, 'splice_polypyrimidine_tract_variant': 1, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 7, 'intron_variant': 28}	{'missense_variant': 11, 'splice_polypyrimidine_tract_variant': 1, '5_prime_UTR_variant': 15, '3_prime_UTR_variant': 122, 'intron_variant': 724, 'upstream_gene_variant': 22, 'downstream_gene_variant': 85, 'regulatory_region_variant': 8}	{'missense_variant': 11}	{'tolerated': 9}	{'benign': 9}	{'chr7': 38}	{'00-10%': 0, '10-20%': 0, '20-30%': 10, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 38, 'Variants processed': 38, 'Variants filtered out': 0, 'Novel variants': 11, 'Existing variants': 27, 'Overlapped genes': 3, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 4}
FIN_CYP2C9	{'deletion': 1, 'SNV': 69}	{'missense_variant': 1, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 1, '3_prime_UTR_variant': 8, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 55}	{'missense_variant': 16, 'splice_polypyrimidine_tract_variant': 3, 'synonymous_variant': 17, '3_prime_UTR_variant': 28, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 1196, 'NMD_transcript_variant': 67, 'non_coding_transcript_variant': 16, 'upstream_gene_variant': 24, 'downstream_gene_variant': 57}	{'missense_variant': 16, 'synonymous_variant': 17}	{'deleterious_low_confidence': 1}	{'benign': 1}	{'chr10': 70}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 2, '70-80%': 14, '80-90%': 0, '90-100%': 17}	{'Lines of input read': 70, 'Variants processed': 70, 'Variants filtered out': 0, 'Novel variants': 24, 'Existing variants': 46, 'Overlapped genes': 3, 'Overlapped transcripts': 23, 'Overlapped regulatory features': 0}
FIN_CYP2D6	{'SNV': 1}	{'non_coding_transcript_exon_variant': 1}	{'non_coding_transcript_exon_variant': 1, 'intron_variant': 34, 'NMD_transcript_variant': 1, 'non_coding_transcript_variant': 1, 'upstream_gene_variant': 3}				{'chr22': 1}		{'Lines of input read': 1, 'Variants processed': 1, 'Variants filtered out': 0, 'Novel variants': 0, 'Existing variants': 1, 'Overlapped genes': 3, 'Overlapped transcripts': 38, 'Overlapped regulatory features': 0}
FIN_CYP4F2	{'deletion': 2, 'insertion': 3, 'SNV': 72}	{'missense_variant': 4, 'splice_polypyrimidine_tract_variant': 3, 'synonymous_variant': 2, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 63}	{'missense_variant': 67, 'splice_polypyrimidine_tract_variant': 21, 'synonymous_variant': 52, '5_prime_UTR_variant': 4, '3_prime_UTR_variant': 17, 'non_coding_transcript_exon_variant': 14, 'intron_variant': 1336, 'NMD_transcript_variant': 67, 'non_coding_transcript_variant': 113, 'upstream_gene_variant': 147, 'downstream_gene_variant': 46}	{'missense_variant': 67, 'synonymous_variant': 52}	{'tolerated': 2, 'deleterious_low_confidence': 10, 'tolerated_low_confidence': 10}	{'probably_damaging': 8, 'benign': 14}	{'chr19': 77}	{'00-10%': 20, '10-20%': 30, '20-30%': 1, '30-40%': 14, '40-50%': 2, '50-60%': 3, '60-70%': 14, '70-80%': 3, '80-90%': 19, '90-100%': 13}	{'Lines of input read': 77, 'Variants processed': 77, 'Variants filtered out': 0, 'Novel variants': 12, 'Existing variants': 65, 'Overlapped genes': 4, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 0}
FIN_DRD2	{'insertion': 1, 'deletion': 3, 'SNV': 142}	{'missense_variant': 1, 'synonymous_variant': 2, '5_prime_UTR_variant': 5, '3_prime_UTR_variant': 4, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 131}	{'missense_variant': 8, 'synonymous_variant': 16, '5_prime_UTR_variant': 5, '3_prime_UTR_variant': 29, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 1051, 'non_coding_transcript_variant': 168, 'upstream_gene_variant': 116, 'downstream_gene_variant': 120, 'regulatory_region_variant': 7}	{'missense_variant': 8, 'synonymous_variant': 16}	{'tolerated': 8}	{'benign': 8}	{'chr11': 146}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 1, '70-80%': 23, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 146, 'Variants processed': 146, 'Variants filtered out': 0, 'Novel variants': 38, 'Existing variants': 108, 'Overlapped genes': 3, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 5}
